id,user_id,created_at,closed_at,city_of_booking,start_date,end_date,cnt_of_person,min_price,max_price,booking_id,rules,meals,pets,parking,accessibility,facilities,search_settings,room_size,kids,pool_n_beach,sport,transfer,business,rating,score,other,search_mode,ai_chat_id
100010,1188,2026-04-24 08:12:00,2026-04-24 08:18:00,Prague,2026-05-21,2026-05-28,4,150,678,90913,"Free cancellation, Early check-in, Late check-out",,,parking,,"Tour/ticket assistance, Smoke-free property, Hair salon",,38,,"Outdoor pool, Heated pool, Rooftop pool",,,,4,9,,manual,
100011,1196,2026-04-08 12:22:00,2026-04-08 12:24:00,Gdansk,2026-04-12,2026-04-16,4,150,323,,,,,,,Beachfront,,50,"Family-friendly,Playground or Playroom",,,,,1,10,,ai,7353
100012,1218,2026-04-13 14:53:00,2026-04-13 14:58:00,Warsaw,2026-05-01,2026-05-04,2,50,335,,,,,parking,"Wheelchair-accessible elevator, Door width ≥ 80 cm",,"Hide liked offers, Hide disliked rooms, Hide no reacted offers",0,Entertainment for kids,Outdoor pool,"Sauna, Spa, Gym",,Coworking lounge,3,1,"Design hotel, Dutch-speaking staff",manual,
100013,1108,2026-01-24 20:27:00,,Krakow,2026-02-07,2026-02-13,3,150,704,,,Breakfast,,parking,,Soundproof room,,75,,,,,,4,8,,ai,7729
100014,1224,2026-01-31 03:54:00,2026-01-31 03:58:00,Wroclaw,2026-02-23,2026-02-28,4,84,150,,Early check-in,All meals,,,,Kitchen,,24,,,,,,1,4,,ai,5170
100015,1130,2026-03-07 15:08:00,2026-03-07 15:10:00,Warsaw,2026-03-13,2026-03-14,4,150,514,82088,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,0,,,,,,4,8,,ai,6242
100016,1258,2026-05-14 08:34:00,2026-05-14 08:37:00,Wroclaw,2026-06-09,2026-06-10,5,57,150,78176,,,Muzzle not required,,,Kitchen,,33,,,,,,2,9,,ai,7825
100017,1300,2026-03-27 09:24:00,2026-03-27 09:31:00,Warsaw,2026-04-22,2026-04-23,3,50,598,,Late check-out,Lunch,No pet deposit,parking,,,Hide disliked rooms,25,,"Heated pool, Rooftop pool","Gym, Spa, Sauna",Shuttle service,,5,1,"Boutique hotel, Design hotel, English-speaking staff",manual,
100018,1128,2026-03-13 10:49:00,,Krakow,2026-03-24,2026-03-30,3,50,762,,Early check-in,Breakfast,,parking,,Soundproof room,,0,,,,,,1,1,,ai,5544
100019,1009,2026-01-26 05:28:00,2026-01-26 05:32:00,Krakow,2026-01-30,2026-02-04,2,100,459,97542,,Breakfast,,parking,,Soundproof room,,0,,,,,,2,5,,ai,6955
100020,1224,2026-04-29 08:48:00,,Krakow,2026-05-28,2026-06-02,3,0,248,,,Breakfast,,parking,,Soundproof room,,80,,,,,,2,3,,ai,5564
100021,1075,2026-01-04 03:44:00,,Warsaw,2026-01-09,2026-01-13,2,100,633,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,47,,,Sauna,,,4,8,,ai,7350
100022,1473,2026-03-19 03:24:00,,Wroclaw,2026-04-14,2026-04-19,3,88,150,,,,,,,Kitchen,,89,Babysitting,,,,,3,6,Historical building,ai,5984
100023,1073,2026-05-08 06:32:00,2026-05-08 06:36:00,Wroclaw,2026-05-10,2026-05-16,4,55,150,96566,,,,,,Kitchen,,60,,,,,,5,2,,ai,6004
100024,1300,2026-03-28 23:58:00,2026-03-29 00:00:00,Wroclaw,2026-04-16,2026-04-23,4,91,150,88171,,,,parking,,Kitchen,,67,,,,,,4,1,,ai,6181
100025,1412,2026-05-01 14:31:00,2026-05-01 14:34:00,Warsaw,2026-05-23,2026-05-28,2,50,757,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,26,,,,,,1,2,,ai,6418
100026,1039,2026-02-10 10:51:00,2026-02-10 10:55:00,Krakow,2026-02-21,2026-02-24,2,150,638,80978,,Breakfast,,parking,,Soundproof room,,37,,,,Shuttle service,,2,10,,ai,6263
100027,1092,2026-01-20 19:56:00,2026-01-20 20:17:00,Wroclaw,2026-02-04,2026-02-09,4,100,751,,,"Dinner, All meals",Additional pet services,,"Spacious room layout, Accessible room",,,73,"Entertainment for kids, Family-friendly, Playground or Playroom",Rooftop pool,"Spa, Sauna",,Coworking lounge,4,2,English-speaking staff,manual,
100028,1015,2026-03-06 13:14:00,2026-03-06 13:32:00,Wroclaw,2026-03-17,2026-03-18,4,50,578,80242,"Free cancellation, Early check-in","All meals, All inclusive",,,,,,33,"Playground or Playroom, Safe balcony",Rooftop pool,,Shuttle service,,1,1,English-speaking staff,manual,
100029,1307,2026-02-26 11:28:00,2026-02-26 11:29:00,Gdansk,2026-03-27,2026-03-31,3,50,623,,,,Allows 3+ pets,,,Beachfront,,39,"Family-friendly,Playground or Playroom",,,,,2,1,,ai,8901
100030,1445,2026-03-07 03:33:00,2026-03-07 03:34:00,Wroclaw,2026-03-20,2026-03-23,4,72,150,91226,,,,,,Kitchen,,89,,,,,,1,1,,ai,6349
100031,1340,2026-04-28 00:02:00,2026-04-28 00:07:00,Warsaw,2026-05-10,2026-05-17,2,150,400,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,0,,,,Shuttle service,,2,9,,ai,7452
100032,1491,2026-02-15 22:53:00,2026-02-15 23:06:00,Berlin,2026-03-14,2026-03-21,3,50,434,,Late check-out,"Dinner, All meals","Up to 20kg pet allowed, Allows 3 pets, Muzzle not required",parking,Hard flooring,"Contactless check-in/out, Express check-in/check-out, Bedside reading lights",,22,"Kids-friendly bathroom, TV for kids","Any pool, Outdoor pool, Indoor pool",,,Coworking lounge,5,1,"Boutique hotel, English-speaking staff, Multilingual staff",manual,
100033,1149,2026-05-13 20:56:00,2026-05-13 21:04:00,Warsaw,2026-06-06,2026-06-08,1,100,555,,"Early check-in, Late check-out",All meals,Up to 20kg pet allowed,parking,,,,87,"TV for kids, Babysitting, Entertainment for kids","Any pool, Indoor pool, Outdoor pool",,Shuttle service,Coworking lounge,1,8,"Multilingual staff, Design hotel, Historical building",manual,
100034,1248,2026-02-14 16:07:00,2026-02-14 16:12:00,Warsaw,2026-03-06,2026-03-10,3,0,787,87921,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,70,,,,,,2,8,,ai,5745
100035,1047,2026-01-02 21:42:00,2026-01-02 21:46:00,Warsaw,2026-01-17,2026-01-19,3,1912,2000,82681,,,Pets welcome in the restaurant,,,Bedside reading lights,,85,,Any pool,"Gym,Spa",,,5,9,,ai,6849
100036,1160,2026-02-24 01:59:00,2026-02-24 02:05:00,Krakow,2026-03-18,2026-03-23,1,150,477,,,,"Cats allowed, Pet fee less than €20 per night",,Accessible bathroom,,Hide no reacted offers,39,Family-friendly,Outdoor pool,,,,4,9,"Multilingual staff, Dutch-speaking staff",manual,
100037,1027,2026-05-15 21:01:00,2026-05-15 21:04:00,Krakow,2026-05-21,2026-05-23,1,0,644,,,Breakfast,,parking,,Soundproof room,,93,,,,,,4,1,,ai,8036
100038,1400,2026-05-05 05:01:00,2026-05-05 05:02:00,Gdansk,2026-05-19,2026-05-25,2,100,409,87145,Free cancellation,,,,Hard flooring,Beachfront,,0,"Family-friendly,Playground or Playroom",,,,,1,6,,ai,8582
100039,1455,2026-03-14 04:12:00,,Krakow,2026-04-08,2026-04-14,1,50,278,,,Breakfast,,parking,,Soundproof room,,0,,,,,,1,3,,ai,7708
100040,1379,2026-04-23 10:19:00,2026-04-23 10:24:00,Krakow,2026-05-15,2026-05-17,4,150,759,89682,,Breakfast,,parking,,Soundproof room,,17,,,,Shuttle service,,5,1,,ai,8900
100041,1466,2026-02-11 23:43:00,2026-02-11 23:45:00,Wroclaw,2026-02-23,2026-03-01,3,71,150,75039,,,,,,Kitchen,,31,,,,,,5,4,,ai,8141
100042,1444,2026-02-11 04:52:00,,Paris,2026-02-16,2026-02-20,2,50,308,,,"Dinner, Lunch, All meals",,parking,Step-free access,"Single (twin) bed 80-130cm width, Water park access, Real double bed (not 2 twins pushed together)","Hide liked offers, Hide no reacted offers, Hide disliked rooms",0,,,Sauna,Shuttle service,Coworking lounge,5,1,"Design hotel, Historical building, Dutch-speaking staff",manual,
100043,1274,2026-02-22 01:54:00,2026-02-22 01:56:00,Warsaw,2026-03-07,2026-03-11,4,50,802,80952,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,0,,,,,,5,5,,ai,5252
100044,1376,2026-02-04 20:28:00,2026-02-04 20:38:00,Berlin,2026-02-16,2026-02-17,2,150,744,,Late check-out,All meals,"Pet walking area nearby, Allows 2 pets, Toys for pets",parking,"Accessible property, Door width ≥ 80 cm, Accessible bathroom",Self check-in,,42,,,Gym,,Coworking lounge,2,1,"English-speaking staff, Dutch-speaking staff, Multilingual staff",manual,
100045,1424,2026-04-06 02:40:00,2026-04-06 02:41:00,Warsaw,2026-04-13,2026-04-20,2,1910,2000,96149,,,,,,,Hide disliked rooms,75,,Any pool,"Gym,Spa",,,5,9,Boutique hotel,ai,6521
100046,1134,2026-02-18 03:24:00,,Berlin,2026-03-10,2026-03-15,2,0,674,,,,,parking,,VIP room amenities,Hide no reacted offers,88,"Child-friendly menu, Safe balcony, Entertainment for kids","Heated pool, Any pool, Rooftop pool",,Shuttle service,Coworking lounge,1,2,Boutique hotel,manual,
100047,1435,2026-01-12 01:05:00,2026-01-12 01:09:00,Warsaw,2026-01-29,2026-02-01,3,100,771,79973,,,All pets allowed,parking,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,19,,,,Shuttle service,Coworking lounge,3,7,,ai,8694
100048,1462,2026-01-22 04:39:00,2026-01-22 04:43:00,Warsaw,2026-02-09,2026-02-12,4,1927,2000,95428,Free cancellation,,Muzzle not required,,,24/7 kitchen access,,65,,Any pool,"Gym,Spa",,,5,9,,ai,5411
100049,1253,2026-02-25 18:54:00,2026-02-25 19:02:00,Prague,2026-03-20,2026-03-21,3,150,877,,,Lunch,,,Accessible bathroom,,,0,"Playground or Playroom, Family-friendly, Kids-friendly bathroom","Outdoor pool, Indoor pool",Spa,,Coworking lounge,1,1,"English-speaking staff, Boutique hotel, Historical building",manual,
100050,1291,2026-04-23 08:55:00,,Paris,2026-04-28,2026-04-29,2,50,727,,,All inclusive,,parking,Hard flooring,Ski access & services,Hide liked offers,45,"Kids-friendly bathroom, Playground or Playroom, Safe balcony",,,,Coworking lounge,2,10,"Dutch-speaking staff, Boutique hotel, Historical building",manual,
100051,1271,2026-05-10 21:55:00,2026-05-10 22:20:00,Gdansk,2026-05-16,2026-05-23,3,150,925,78978,"Free cancellation, Early check-in, Late check-out",,"Up to 15kg pet allowed, Pet walking area nearby, Toys for pets",,,"Tour/ticket assistance, EV charging, Laundry facilities/services",,32,"Safe balcony, TV for kids","Heated pool, Indoor pool","Spa, Gym",,Coworking lounge,1,4,,manual,
100052,1349,2026-05-21 10:01:00,2026-05-21 10:02:00,Krakow,2026-06-10,2026-06-17,3,50,657,,,Breakfast,,parking,,Soundproof room,,97,,,,,,1,5,Multilingual staff,ai,8025
100053,1309,2026-04-02 03:52:00,2026-04-02 03:57:00,Krakow,2026-04-19,2026-04-25,1,50,339,,,Breakfast,,parking,,Soundproof room,,31,,,,,,1,1,,ai,6348
100054,1013,2026-03-15 00:13:00,2026-03-15 00:15:00,Warsaw,2026-03-26,2026-03-31,4,1929,2000,,,,,parking,,,,98,,Any pool,"Gym,Spa",,,5,9,,ai,8437
100055,1118,2026-04-22 04:21:00,2026-04-22 04:24:00,Krakow,2026-05-01,2026-05-06,4,100,478,95092,,Breakfast,Cats allowed,parking,,Soundproof room,,41,,Outdoor pool,,,,2,10,,ai,5008
100056,1146,2026-02-28 04:25:00,2026-02-28 04:29:00,Warsaw,2026-03-06,2026-03-12,1,1924,2000,92148,,,Dogs allowed,,,,,0,,Any pool,"Gym,Spa",,,5,9,,ai,7230
100057,1060,2026-05-17 12:47:00,2026-05-17 12:51:00,Wroclaw,2026-05-24,2026-05-25,5,55,150,,,,,,,Kitchen,,0,,,,,,1,4,,ai,7887
100058,1279,2026-01-29 18:10:00,,Warsaw,2026-02-09,2026-02-16,4,1943,2000,,,,,,,,,0,,Any pool,"Gym,Spa",,,5,9,,ai,8882
100059,1440,2026-01-22 12:25:00,,Gdansk,2026-01-28,2026-02-02,3,100,681,,,,,,,Beachfront,,32,"Family-friendly,Playground or Playroom",,,,,2,1,Design hotel,ai,6792
100060,1137,2026-01-21 03:40:00,2026-01-21 03:42:00,Wroclaw,2026-02-06,2026-02-09,5,89,150,,,,Towels for pets,,,Kitchen,,0,,,,Shuttle service,,1,10,,ai,8858
100061,1370,2026-05-06 06:12:00,2026-05-06 06:13:00,Warsaw,2026-06-04,2026-06-06,4,0,389,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,69,,,,,,1,1,,ai,7030
100062,1192,2026-04-05 10:35:00,2026-04-05 10:37:00,Wroclaw,2026-04-18,2026-04-21,3,71,150,,,,,,,Kitchen,,0,,,,,,4,3,,ai,7587
100063,1371,2026-04-11 00:35:00,,Krakow,2026-05-06,2026-05-11,4,150,578,,,Breakfast,,parking,,Soundproof room,,25,,,,,,1,2,,ai,8001
100064,1041,2026-04-22 01:56:00,,Warsaw,2026-04-25,2026-04-30,2,50,711,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,58,,,Spa,,,1,1,Multilingual staff,ai,5215
100065,1151,2026-03-05 23:10:00,,Krakow,2026-03-29,2026-04-01,2,0,418,,"Late check-out, Early check-in","Lunch, Dinner, Breakfast","Additional pet services, Unattended pets allowed, Up to 20kg pet allowed",,"Accessible property, Hard flooring",,"Hide disliked rooms, Hide no reacted offers, Hide liked offers",0,"Babysitting, Safe balcony",,"Spa, Sauna, Gym",Shuttle service,Coworking lounge,1,6,,manual,
100066,1447,2026-02-01 18:37:00,2026-02-01 18:38:00,Krakow,2026-02-03,2026-02-07,3,0,628,,,Breakfast,,parking,,Soundproof room,,17,,,,,,2,7,,ai,7275
100067,1492,2026-03-12 08:57:00,2026-03-12 08:59:00,Gdansk,2026-03-20,2026-03-22,3,0,720,83241,,,Allows 2 pets,,,Beachfront,,86,"Family-friendly,Playground or Playroom",,,,,2,2,,ai,6603
100068,1003,2026-05-15 09:17:00,2026-05-15 09:20:00,Krakow,2026-06-01,2026-06-06,1,0,320,,,Breakfast,,parking,Accessible room,Soundproof room,,43,TV for kids,,,,,1,6,,ai,8975
100069,1067,2026-01-03 21:05:00,,Gdansk,2026-01-28,2026-02-02,3,0,701,,Late check-out,,"Pets allowed in public areas, 20+ kg pet allowed, Toys for pets",parking,"Step-free access, Accessible property, Spacious room layout","Mountain view, Water sports facilities, Heating",,0,"Babysitting, Kids-friendly bathroom, Safe balcony","Heated pool, Outdoor pool","Sauna, Gym, Spa",,,1,1,"Multilingual staff, Historical building",manual,
100070,1099,2026-04-06 21:44:00,2026-04-06 21:50:00,Prague,2026-04-25,2026-05-02,2,50,418,92672,,,"Unattended pets allowed, Pet fee less than €20 per night, Allows 3+ pets",parking,"Wheelchair-accessible elevator, Step-free access",Bike rental/services,"Hide no reacted offers, Hide liked offers, Hide disliked rooms",34,,Outdoor pool,Spa,Shuttle service,Coworking lounge,2,1,,manual,
100071,1346,2026-02-17 20:16:00,2026-02-17 20:21:00,Warsaw,2026-03-11,2026-03-12,3,50,585,79971,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,36,,,,,,4,10,,ai,8284
100072,1161,2026-04-13 05:26:00,,Paris,2026-04-24,2026-04-30,2,50,623,,"Free cancellation, Early check-in, Late check-out","Lunch, All inclusive, All meals",No pet deposit,parking,,Fishing,,88,Babysitting,,"Gym, Sauna, Spa",Shuttle service,Coworking lounge,5,4,English-speaking staff,manual,
100073,1136,2026-02-20 18:58:00,2026-02-20 19:08:00,Warsaw,2026-03-04,2026-03-08,2,0,239,99392,"Late check-out, Early check-in, Free cancellation","All meals, All inclusive, Lunch",Muzzle not required,,"Accessible room, Accessible parking on-site","Yoga area, On-site medical assistance",,92,,"Heated pool, Rooftop pool",,Shuttle service,,3,2,,manual,
100074,1228,2026-01-16 11:17:00,2026-01-16 11:20:00,Wroclaw,2026-02-07,2026-02-11,3,85,150,,,,,,,Kitchen,,91,Babysitting,,,,,1,1,,ai,6296
100075,1382,2026-05-04 07:10:00,,Wroclaw,2026-05-13,2026-05-19,1,50,811,,Free cancellation,,Up to 10kg pet allowed,parking,"Accessible public areas, Door width ≥ 80 cm",,"Hide liked offers, Hide disliked rooms",31,"Babysitting, Entertainment for kids, Playground or Playroom",Indoor pool,,Shuttle service,,4,1,,manual,
100076,1431,2026-03-25 13:00:00,2026-03-25 13:02:00,Wroclaw,2026-03-27,2026-04-03,3,74,150,,,,,,,Kitchen,,0,,,,,,1,7,,ai,7064
100077,1025,2026-01-25 11:59:00,2026-01-25 12:11:00,Prague,2026-02-10,2026-02-16,3,0,397,,,,Pet fee less than €20 per night,,"Accessible bed height, Wheelchair-accessible elevator","Pillow menu, Bathroom with buthtub",,91,,,Sauna,Shuttle service,Coworking lounge,4,3,"Multilingual staff, Design hotel, Dutch-speaking staff",manual,
100078,1028,2026-04-24 09:37:00,2026-04-24 09:40:00,Gdansk,2026-05-20,2026-05-25,2,150,658,81249,,Breakfast,,,,Beachfront,,35,"Family-friendly,Playground or Playroom",,,,,1,7,,ai,7947
100079,1048,2026-05-12 16:17:00,2026-05-12 16:18:00,Gdansk,2026-06-03,2026-06-08,4,50,498,81097,,,,,,Beachfront,,53,"Family-friendly,Playground or Playroom",,,Shuttle service,,1,10,,ai,5402
100080,1189,2026-04-23 21:00:00,2026-04-23 21:02:00,Krakow,2026-05-11,2026-05-15,3,50,416,86717,,Breakfast,,parking,,Soundproof room,,0,,,,,,5,3,,ai,8475
100081,1160,2026-05-06 12:14:00,2026-05-06 12:18:00,Wroclaw,2026-05-31,2026-06-02,3,85,150,,,,,,,Kitchen,,58,,Outdoor pool,,,Coworking lounge,2,3,,ai,8223
100082,1152,2026-02-02 01:39:00,,Krakow,2026-03-04,2026-03-11,2,0,371,,"Free cancellation, Early check-in, Late check-out",,All pets allowed,parking,"Door width ≥ 80 cm, Wheelchair-accessible elevator","24-hour security, Private bathroom, Elevator/lift access",Hide no reacted offers,88,Child-friendly menu,"Heated pool, Outdoor pool, Indoor pool","Sauna, Spa",Shuttle service,,5,1,"Multilingual staff, Dutch-speaking staff",manual,
100083,1305,2026-03-29 19:20:00,,Warsaw,2026-04-20,2026-04-21,3,0,442,,"Late check-out, Early check-in, Free cancellation",All meals,,parking,"Accessible room, Hard flooring","Crib/Cot available, Children’s pool, Kitchen",Hide liked offers,0,"Babysitting, Entertainment for kids, Safe balcony",,"Gym, Spa",,Coworking lounge,3,10,,manual,
100084,1391,2026-02-13 02:32:00,,Warsaw,2026-03-13,2026-03-16,2,100,655,,,,All pets allowed,parking,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,15,,Rooftop pool,,,,1,1,,ai,7558
100085,1050,2026-03-04 08:54:00,,Gdansk,2026-03-23,2026-03-26,2,150,453,,"Late check-out, Free cancellation","Lunch, All inclusive, Breakfast",Towels for pets,parking,Accessible room,,"Hide liked offers, Hide disliked rooms, Hide no reacted offers",45,"Child-friendly menu, Safe balcony",,,Shuttle service,,1,7,,manual,
100086,1000,2026-05-15 09:51:00,2026-05-15 09:56:00,Wroclaw,2026-06-02,2026-06-07,3,67,150,,,,,,Spacious room layout,Kitchen,,58,Family-friendly,,Gym,,,4,1,Multilingual staff,ai,7698
100087,1175,2026-04-22 08:15:00,2026-04-22 08:17:00,Gdansk,2026-05-04,2026-05-11,4,50,230,,,,,,,Beachfront,,0,"Family-friendly,Playground or Playroom",,,,,4,1,,ai,8913
100088,1341,2026-03-16 12:12:00,2026-03-16 12:28:00,Prague,2026-04-11,2026-04-14,3,100,893,,"Free cancellation, Late check-out",,"Unattended pets allowed, Pets allowed in public areas",,,,,0,,,Sauna,,Coworking lounge,3,7,"Multilingual staff, Boutique hotel, Dutch-speaking staff",manual,
100089,1187,2026-03-15 19:17:00,2026-03-15 19:18:00,Gdansk,2026-04-13,2026-04-20,1,100,303,89399,,Dinner,,,Accessible parking on-site,Beachfront,,0,"Family-friendly,Playground or Playroom",,Spa,Shuttle service,,3,6,,ai,7040
100090,1119,2026-03-09 22:02:00,2026-03-09 22:04:00,Wroclaw,2026-04-04,2026-04-06,4,52,150,,,,,,,Kitchen,,74,,,,,Coworking lounge,4,5,,ai,6702
100091,1123,2026-04-28 17:36:00,2026-04-28 17:40:00,Gdansk,2026-05-16,2026-05-22,4,0,248,94268,,,,,,Beachfront,,0,"Family-friendly,Playground or Playroom",,,,,1,5,,ai,6643
100092,1443,2026-04-28 20:50:00,2026-04-28 20:51:00,Wroclaw,2026-05-27,2026-06-02,4,51,150,93712,,,,,,Kitchen,,0,,,,,,1,2,Design hotel,ai,6566
100093,1303,2026-02-28 03:24:00,2026-02-28 03:29:00,Gdansk,2026-03-26,2026-04-01,2,100,714,,"Free cancellation, Late check-out, Early check-in",,"Pet walking area nearby, All pets allowed, In-room pet station",parking,,Bars and lounges (including poolside bar),,29,,Rooftop pool,,,,2,7,,manual,
100094,1440,2026-04-17 18:34:00,,Warsaw,2026-04-25,2026-05-02,3,1942,2000,,,,,,,,,0,,Any pool,"Gym,Spa",,,5,9,,ai,6741
100095,1392,2026-04-27 06:56:00,2026-04-27 06:59:00,Wroclaw,2026-05-15,2026-05-22,4,73,150,,,,,,,Kitchen,,91,,,,,,2,1,,ai,8988
100096,1174,2026-04-11 15:21:00,,Warsaw,2026-04-17,2026-04-24,1,150,535,,,,All pets allowed,,,"Wi-fi,Work desk,King/Queen-size 150+cm width",,35,,,,,,1,4,,ai,8392
100097,1046,2026-03-01 11:18:00,,Warsaw,2026-03-22,2026-03-27,3,1946,2000,,,,,,Door width ≥ 80 cm,,,0,,Any pool,"Gym,Spa",,,5,9,,ai,5232
100098,1345,2026-04-22 04:13:00,2026-04-22 04:17:00,Gdansk,2026-05-12,2026-05-18,4,50,475,,,,Pet fee less than €20 per night,,,Beachfront,,23,"Family-friendly,Playground or Playroom",Rooftop pool,,,,1,1,,ai,5034
100099,1016,2026-01-25 23:23:00,2026-01-25 23:26:00,Krakow,2026-02-01,2026-02-05,2,100,643,91099,,Breakfast,,parking,,Soundproof room,,39,,,,Shuttle service,,1,9,,ai,7473
100100,1431,2026-02-11 04:02:00,2026-02-11 04:16:00,Wroclaw,2026-02-14,2026-02-21,3,50,434,,Late check-out,Lunch,Up to 20kg pet allowed,parking,"Accessible bed height, Step-free access, Hard flooring",Yoga area,"Hide disliked rooms, Hide no reacted offers, Hide liked offers",91,"Babysitting, Playground or Playroom, Child-friendly menu","Heated pool, Any pool, Outdoor pool","Gym, Spa",,Coworking lounge,2,9,Historical building,manual,
100101,1321,2026-04-22 04:04:00,2026-04-22 04:09:00,Gdansk,2026-04-29,2026-05-06,1,50,388,,,,,,,Beachfront,,0,"Family-friendly,Playground or Playroom",,,,,1,6,,ai,8842
100102,1167,2026-01-05 11:18:00,,Warsaw,2026-01-11,2026-01-16,4,100,382,,,"Lunch, All inclusive","No pet vaccination required, In-room pet station",parking,"Accessible public areas, Accessible parking on-site",,,0,"Child-friendly menu, Kids-friendly bathroom",Any pool,"Spa, Gym, Sauna",,Coworking lounge,2,3,Boutique hotel,manual,
100103,1183,2026-04-19 16:00:00,,Krakow,2026-04-25,2026-05-01,2,150,419,,,Breakfast,,parking,,Soundproof room,,0,,,,,,3,5,,ai,8344
100104,1285,2026-01-10 18:40:00,2026-01-10 18:44:00,Warsaw,2026-01-28,2026-02-03,2,1933,2000,,,,20+ kg pet allowed,,,,Hide liked offers,0,,Any pool,"Gym,Spa",,,5,9,Boutique hotel,ai,6737
100105,1469,2026-01-05 02:19:00,,Krakow,2026-01-25,2026-01-27,1,0,457,,"Free cancellation, Early check-in",,"Unattended pets allowed, Cats allowed, Pet-welcome bonus",parking,,,"Hide no reacted offers, Hide disliked rooms, Hide liked offers",31,"Safe balcony, Playground or Playroom, Entertainment for kids","Outdoor pool, Indoor pool","Spa, Gym",,,1,1,,manual,
100106,1164,2026-04-30 00:24:00,,Warsaw,2026-05-25,2026-05-31,4,1911,2000,,,,,,,,,37,,Any pool,"Gym,Spa",,,5,9,,ai,7459
100107,1128,2026-04-13 05:52:00,2026-04-13 05:59:00,Paris,2026-04-26,2026-04-30,2,100,563,,"Free cancellation, Late check-out",,,parking,,"Mini golf, Room service","Hide disliked rooms, Hide no reacted offers, Hide liked offers",0,,Outdoor pool,,Shuttle service,Coworking lounge,1,1,Design hotel,manual,
100108,1327,2026-03-11 21:40:00,2026-03-11 21:51:00,Warsaw,2026-04-01,2026-04-08,1,100,881,,,"Dinner, All inclusive, All meals",,parking,"Hard flooring, Door width ≥ 80 cm","EV charging, Sea view",,93,,,"Gym, Spa, Sauna",,Coworking lounge,1,2,"Multilingual staff, Dutch-speaking staff, Historical building",manual,
